,0,normalised,cleaned,threshold
64,170059831.24927938,0.020000460187581157,0j,0.0
65,469897747.70729005,0.055263909920488845,0j,0.0
66,170713323.13270023,0.020077316305226644,0j,0.0
67,524788952.26213026,0.06171957521947524,0j,0.0
68,285490312.91037667,0.03357605141295394,0j,0.0
69,148987865.09997422,0.017522220517770703,0j,0.0
70,76116044.17200908,0.008951884168736568,0j,0.0
71,251904189.22154966,0.029626042026499207,0j,0.0
72,159497963.6269471,0.018758296113118956,0j,0.0
73,380792758.9506256,0.0447844171028686,0j,0.0
74,348043862.3935942,0.04093287263781495,0j,0.0
75,48756389.31727115,0.00573415965585007,0j,0.0
76,396345025.3644115,0.04661349386338607,0j,0.0
77,266124792.67762977,0.03129850407222357,0j,0.0
78,160584497.2356422,0.018886081563824954,0j,0.0
79,129179599.84574305,0.015192602655092879,0j,0.0
80,110982946.61949375,0.013052523862086541,0j,0.0
81,169876943.1710591,0.019978951018129694,0j,0.0
82,254748465.7331445,0.029960552761425424,0j,0.0
83,427424712.4172282,0.05026872531325838,0j,0.0
84,294605244.283486,0.03464804366827485,0j,0.0
85,287328730.86872196,0.033792264759244524,0j,0.0
86,269651047.9409278,0.03171322121904621,0j,0.0
87,512230004.41281295,0.0602425377873377,0j,0.0
88,215053401.32415715,0.025292080791747485,0j,0.0
89,376035404.5372629,0.04422491238712417,0j,0.0
90,445141503.9276457,0.05235236835025735,0j,0.0
91,311949679.30802655,0.03668789446452737,0j,0.0
92,330829681.86278665,0.03890834086073952,0j,0.0
93,449702743.4448595,0.0528888083120043,0j,0.0
94,215342023.19823897,0.025326025140977003,0j,0.0
95,233360499.04678395,0.027445148782358625,0j,0.0
96,220563613.87169886,0.02594012792829129,0j,0.0
97,398608938.00024563,0.04687974894672078,0j,0.0
98,188234073.7164044,0.022137903287653155,0j,0.0
99,117724647.51112485,0.013845404340028445,0j,0.0
100,303268729.00138026,0.03566694201665655,0j,0.0
101,242195449.2353694,0.028484212905896703,0j,0.0
102,119305304.58277744,0.014031302847627606,0j,0.0
103,29430703.055658527,0.0034612971236834375,0j,0.0
104,409174558.25784624,0.04812235436251404,0j,0.0
105,338604515.32036835,0.039822726379595524,0j,0.0
106,316772276.86935866,0.03725507232080057,0j,0.0
107,212746691.82715467,0.02502079243917064,0j,0.0
108,234486107.29167992,0.027577529737481735,0j,0.0
109,304306172.8632349,0.03578895410207052,0j,0.0
110,226401639.35940546,0.026626728611610823,0j,0.0
111,5029884.5793690365,0.0005915565453568865,0j,0.0
112,215506372.08304608,0.025345353946041146,0j,0.0
113,84847289.90999924,0.009978751780493062,0j,0.0
114,202456239.87765625,0.02381054912059136,0j,0.0
115,510923159.07415694,0.060088841832360525,0j,0.0
116,388291620.88204765,0.04566634605934115,0j,0.0
117,397270117.6200589,0.046722292459109686,0j,0.0
118,402923798.1389626,0.04738721263044566,0j,0.0
119,327642983.02583486,0.03853355839300415,0j,0.0
120,387975026.80968034,0.045629111945362025,0j,0.0
121,274655809.4279653,0.032301823078371275,0j,0.0
122,117106352.64709541,0.01377268768659322,0j,0.0
123,320678867.4285382,0.03771452008323848,0j,0.0
124,250089690.64391753,0.029412641799674583,0j,0.0
