,intraday,overnight,monthly,seasonal,longterm
196,0j,0j,(1897943.90562663-491671.04584077536j),0j,0j
197,0j,0j,(-7077474.881725632+4003537.528814886j),0j,0j
198,0j,0j,(-1660783.7515677852+2640146.7526459196j),0j,0j
199,0j,0j,(3027314.4258428058+374477.16629056644j),0j,0j
200,0j,0j,(-1269005.5074075575+3126290.6292689815j),0j,0j
201,0j,0j,(-2925937.697801162-1482890.9349711416j),0j,0j
202,0j,0j,(4346128.311193291+6264113.167847742j),0j,0j
203,0j,0j,(1554495.8500349373-4980220.308975987j),0j,0j
204,0j,0j,(-3655747.293038125+2485391.6697277264j),0j,0j
205,0j,0j,(-4384167.822679974-1058895.3359390416j),0j,0j
206,0j,0j,(-1947302.0414975474+5581116.086738398j),0j,0j
207,0j,0j,(-2161374.7264555385+4808232.30515639j),0j,0j
208,0j,0j,(3525993.2901470955-488972.1727469594j),0j,0j
209,0j,0j,(-3523358.8333486905-748289.8199515222j),0j,0j
210,0j,0j,(1659708.5534814913-3180524.2256426476j),0j,0j
211,0j,0j,(-2038824.7932192218-422689.151602917j),0j,0j
212,0j,0j,(-1860281.380393665-156441.44049204292j),0j,0j
213,0j,0j,(252087.13857965803-1005490.7087335548j),0j,0j
214,0j,0j,(1215485.2582957465+5263021.089262853j),0j,0j
215,0j,0j,(877238.7281706175-2859911.099719151j),0j,0j
216,0j,0j,(871085.3226257103-2765283.1686206423j),0j,0j
217,0j,0j,(-657586.1571826648+1935145.3609066564j),0j,0j
218,0j,0j,(890987.3328092995+758487.8714592862j),0j,0j
219,0j,0j,(-4701763.657797503-20948.41291817499j),0j,0j
220,0j,0j,(2069333.6558672253+1540563.6531640294j),0j,0j
221,0j,0j,(-3844306.0907789553-3836454.2091122693j),0j,0j
222,0j,0j,(-2898342.675044502+2471324.2830321477j),0j,0j
223,0j,0j,(-3000300.762634713+83882.86305466655j),0j,0j
224,0j,0j,(3385291.8080730503+3408675.9325639247j),0j,0j
225,0j,0j,(829462.1518654397+1728846.1048557502j),0j,0j
226,0j,0j,(-234625.19245946594+3031673.4066874115j),0j,0j
227,0j,0j,(2683869.348171599-2806209.05926308j),0j,0j
228,0j,0j,(650450.4734055469-1748245.4267372007j),0j,0j
229,0j,0j,(-1420133.0425701626+1513606.457935991j),0j,0j
230,0j,0j,(-3881999.7859488553+1663342.9221416432j),0j,0j
231,0j,0j,(1467374.9198538195-6260315.3543505985j),0j,0j
232,0j,0j,(-1710290.0249942248+2055509.5482847248j),0j,0j
233,0j,0j,(-3278274.874744607+33509.622317999194j),0j,0j
234,0j,0j,(-318403.1096040169+1111527.2643107367j),0j,0j
235,0j,0j,(-3239528.02824282-677885.0411760276j),0j,0j
236,0j,0j,(-823336.8901001861+4256223.902369718j),0j,0j
237,0j,0j,(2257084.8366484786+811941.2109390369j),0j,0j
238,0j,0j,(860025.4392270143+2020215.013314215j),0j,0j
239,0j,0j,(-3137573.4704217943+244955.01282585168j),0j,0j
240,0j,0j,(-468564.963238077-210145.50494792202j),0j,0j
241,0j,0j,(441888.16912048974+1049173.5593487965j),0j,0j
242,0j,0j,(31721.5508503858-2987516.8270968148j),0j,0j
243,0j,0j,(-1697350.1748296313+496161.1651647636j),0j,0j
244,0j,0j,(114472.08445275365+560830.6576839655j),0j,0j
245,0j,0j,(-1545935.8818094588+2109085.713327241j),0j,0j
246,0j,0j,(3784792.996055468-5793019.013100712j),0j,0j
247,0j,0j,(-3357950.4042888638-1355209.6223581678j),0j,0j
248,0j,0j,(559663.4773454205-1611007.7773125973j),0j,0j
249,0j,0j,(-7718844.889441863-3581530.1457990278j),0j,0j
250,0j,0j,(-1336853.785033151+836004.4216810534j),0j,0j
251,0j,0j,(169496.99373408372+962168.134861606j),0j,0j
252,0j,0j,(1039427.8763581568-279783.2450441276j),0j,0j
253,0j,0j,(4480124.240338041+484182.98866428155j),0j,0j
254,0j,0j,(-1652917.5113652183-5834885.44091365j),0j,0j
255,0j,0j,(823204.5449486142+1096869.4374604113j),0j,0j
256,0j,0j,(-1499726.311954577+2555000.3680393673j),0j,0j
257,0j,0j,(-2346466.986349437+5360251.012014284j),0j,0j
258,0j,0j,(-621872.0298476461-2010407.6536471182j),0j,0j
259,0j,0j,(1250140.3141992837-2893509.7363466173j),0j,0j
260,0j,0j,(-54808.22647770087-465292.6432546547j),0j,0j
261,0j,0j,(3122988.358575371+2754505.206251079j),0j,0j
262,0j,0j,(-1985.9234915017732+389958.45026593003j),0j,0j
263,0j,0j,(1257325.9792146424+2178522.1749222362j),0j,0j
264,0j,0j,(653230.8968677169+422322.49307308637j),0j,0j
265,0j,0j,(-601741.1892757367-633320.9080745857j),0j,0j
266,0j,0j,(423554.94962459814-4630409.284679593j),0j,0j
267,0j,0j,(-752413.620147033-2063130.371839201j),0j,0j
268,0j,0j,(990979.1936814389+886442.2682567961j),0j,0j
269,0j,0j,(148143.54400537265-790283.8986202828j),0j,0j
270,0j,0j,(585622.3543986102-4717800.653850928j),0j,0j
271,0j,0j,(-1471859.2588461956+3112488.039210341j),0j,0j
272,0j,0j,(-2981126.1469857325-1447867.689443076j),0j,0j
273,0j,0j,(2064513.3738820376+1312261.2233055907j),0j,0j
274,0j,0j,(7052646.510164967+267303.7188253463j),0j,0j
275,0j,0j,(-731319.855302123-1488556.2871378278j),0j,0j
276,0j,0j,(1402024.6398317264-3477180.8880237862j),0j,0j
277,0j,0j,(-883477.1361569874-3448864.3115014685j),0j,0j
278,0j,0j,(-6522595.835675924+1303871.1435964508j),0j,0j
279,0j,0j,(-2309869.464940452+5440628.689816938j),0j,0j
280,0j,0j,(-2109277.151252378-2994326.9695857503j),0j,0j
281,0j,0j,(-3003495.7938969885+1203257.8555438058j),0j,0j
282,0j,0j,(852293.2905998627-1466250.0587905054j),0j,0j
283,0j,0j,(2685314.543628156+2235408.3028171887j),0j,0j
284,0j,0j,(3466152.972032815-963335.0679257587j),0j,0j
285,0j,0j,(-1617715.3524119183-1548086.6268658426j),0j,0j
286,0j,0j,(221177.27508096007+1213375.115373708j),0j,0j
287,0j,0j,(1946192.8291311394-5637016.413126881j),0j,0j
288,0j,0j,(150638.50856687943-1949122.4296592947j),0j,0j
289,0j,0j,(-332338.17708131066-124254.03999221584j),0j,0j
290,0j,0j,(64343.211599243456+1424643.301140007j),0j,0j
291,0j,0j,(-2672056.810843805+1786711.58983177j),0j,0j
292,0j,0j,(4868606.646862865-1202731.3433715403j),0j,0j
293,0j,0j,(3189877.99120982-169955.67625374882j),0j,0j
294,0j,0j,(-3608044.0566213983-156960.23147975822j),0j,0j
295,0j,0j,(-315313.14918542304-1871107.433522171j),0j,0j
296,0j,0j,(-3673718.1789361276-2614571.283945999j),0j,0j
297,0j,0j,(-1293261.5424557177+1742543.0038313654j),0j,0j
298,0j,0j,(3595348.980666642-3542022.567265184j),0j,0j
299,0j,0j,(-847200.6644464007+1023167.9400628166j),0j,0j
300,0j,0j,(-1809777.8495037819+10455.96955963748j),0j,0j
301,0j,0j,(-1912813.6480839062+614949.2227710385j),0j,0j
302,0j,0j,(-476595.8475530944-1740790.7202307277j),0j,0j
303,0j,0j,(3084456.3605041746-644929.9035738817j),0j,0j
304,0j,0j,(3669438.206345019-1940005.5706601026j),0j,0j
305,0j,0j,(-1899689.9804907409+6075783.089334834j),0j,0j
306,0j,0j,(-4393978.628535606-2249501.93820507j),0j,0j
307,0j,0j,(280179.21509807126-357896.26532108616j),0j,0j
308,0j,0j,(4255056.6269274205-4257849.636944182j),0j,0j
309,0j,0j,(2357764.000019745-138388.68392217474j),0j,0j
310,0j,0j,(-1105181.4404511864+3778880.0530849276j),0j,0j
311,0j,0j,(-2704393.1755174366+143050.86310860363j),0j,0j
312,0j,0j,(-170157.87996165408-5020532.392731951j),0j,0j
313,0j,0j,(-743061.3471110254-4065485.5440535815j),0j,0j
314,0j,0j,(-1332012.4291685356-1231516.1318851504j),0j,0j
315,0j,0j,(1351936.8961559648+1142129.489514533j),0j,0j
316,0j,0j,(-3365869.1838023886-4408640.188343503j),0j,0j
317,0j,0j,(1433693.9424436046+378473.8837968376j),0j,0j
318,0j,0j,(2487375.2679109285-3304005.960108336j),0j,0j
319,0j,0j,(1005616.6466013839-638045.491973157j),0j,0j
320,0j,0j,(-6075512.323327846+2475670.91157885j),0j,0j
321,0j,0j,(-2229752.3047602354-99774.28000409494j),0j,0j
322,0j,0j,(2209601.2602119436-2560670.2108424157j),0j,0j
323,0j,0j,(3044044.839012096+1705357.3567019163j),0j,0j
324,0j,0j,(-1534059.3197537381+2116702.2892632363j),0j,0j
325,0j,0j,(349476.18803817045+3323476.4044919354j),0j,0j
326,0j,0j,(1040084.9288736732+1138975.136471728j),0j,0j
327,0j,0j,(4051834.4951478294+610021.6308119891j),0j,0j
328,0j,0j,(4169639.888776267-3336516.8097360367j),0j,0j
329,0j,0j,(3654960.4224686446+664318.4921663435j),0j,0j
330,0j,0j,(-1109896.0000432907+283306.217097783j),0j,0j
331,0j,0j,(-1134374.712810953-3837122.4393464546j),0j,0j
332,0j,0j,(3176712.2880004495-1298104.9436978544j),0j,0j
333,0j,0j,(-994790.6625367482+2330170.6689595254j),0j,0j
334,0j,0j,(2781988.928742193+534153.064346222j),0j,0j
335,0j,0j,(-1511794.3191961409-2207072.0675054733j),0j,0j
336,0j,0j,(-5463518.787773918+2708458.776375463j),0j,0j
337,0j,0j,(584713.5480422814+2929542.060800587j),0j,0j
338,0j,0j,(1657553.8282974213+904693.3139638399j),0j,0j
339,0j,0j,(2198717.0995579166+2209191.128416625j),0j,0j
340,0j,0j,(1754083.4626306812+4399218.240209921j),0j,0j
341,0j,0j,(-1532041.1385421327-2393075.749461299j),0j,0j
342,0j,0j,(22323.097226200334-376096.972345j),0j,0j
343,0j,0j,(2762544.000196758+3557994.2527922643j),0j,0j
344,0j,0j,(-3970355.7213591877-1325215.037562552j),0j,0j
345,0j,0j,(-3393712.411131423-2289298.477318538j),0j,0j
346,0j,0j,(261915.85035144672+1834768.4816509574j),0j,0j
