Magnitude,Cleaned,Frequency [1/hour],intraday,overnight,monthly,seasonal
1260331.25303331,0,0.427460873678614,10859728411.3432,0,0,0
498337.792511688,0,0.427472289073414,10859728411.3432,0,0,0
1102659.14517092,0,0.427483704468214,10859728411.3432,0,0,0
513123.253462453,0,0.427495119863014,10859728411.3432,0,0,0
157906.514867528,0,0.427506535257814,10859728411.3432,0,0,0
482304.685583633,0,0.427517950652614,10859728411.3432,0,0,0
93522.5924484777,0,0.427529366047414,10859728411.3432,0,0,0
931247.042908758,0,0.427540781442213,10859728411.3432,0,0,0
1799330.31392621,0,0.427552196837013,10859728411.3432,0,0,0
636154.571770875,0,0.427563612231813,10859728411.3432,0,0,0
831810.917323806,0,0.427575027626613,10859728411.3432,0,0,0
250741.458030488,0,0.427586443021413,10859728411.3432,0,0,0
937500.559503236,0,0.427597858416213,10859728411.3432,0,0,0
266712.389452474,0,0.427609273811013,10859728411.3432,0,0,0
522979.420718537,0,0.427620689205813,10859728411.3432,0,0,0
179307.748613195,0,0.427632104600613,10859728411.3432,0,0,0
832400.3191281,0,0.427643519995413,10859728411.3432,0,0,0
747710.23674078,0,0.427654935390213,10859728411.3432,0,0,0
847413.73218856,0,0.427666350785013,10859728411.3432,0,0,0
543718.972718981,0,0.427677766179813,10859728411.3432,0,0,0
359433.083289567,0,0.427689181574613,10859728411.3432,0,0,0
481979.61311852,0,0.427700596969413,10859728411.3432,0,0,0
650621.017377748,0,0.427712012364213,10859728411.3432,0,0,0
1341423.36539868,0,0.427723427759013,10859728411.3432,0,0,0
1074329.78439941,0,0.427734843153812,10859728411.3432,0,0,0
598947.31760034,0,0.427746258548612,10859728411.3432,0,0,0
391479.362082018,0,0.427757673943412,10859728411.3432,0,0,0
619012.155607349,0,0.427769089338212,10859728411.3432,0,0,0
108851.023558315,0,0.427780504733012,10859728411.3432,0,0,0
1285073.57236248,0,0.427791920127812,10859728411.3432,0,0,0
504511.845631945,0,0.427803335522612,10859728411.3432,0,0,0
1434660.49176172,0,0.427814750917412,10859728411.3432,0,0,0
273930.937836948,0,0.427826166312212,10859728411.3432,0,0,0
608085.460537666,0,0.427837581707012,10859728411.3432,0,0,0
906530.691427501,0,0.427848997101812,10859728411.3432,0,0,0
