longterm,seasonal,monthly,overnight,intraday,Original
0,0,0,324.343522345919,35.3514776540806,359.695
0,0,0,293.824575247309,20.3094247526912,314.134
0,0,0,250.190590343988,20.650409656012,270.841
0,0,0,196.209302189007,33.4906978109928,229.7
0,0,0,135.238313618598,54.7576863814021,189.996
0,0,0,71.3462556297505,80.1917443702494,151.538
0,0,0,8.26055538623527,105.542444613765,113.803
0,0,0,0,76.599,76.599
0,0,0,0,66.5179999999999,66.518
0,0,0,0,56.3310000000001,56.331
0,0,0,0,45.5269999999999,45.527
0,0,0,0,29.8500000000001,29.85
0,0,0,0,11.4389999999999,11.439
0,0,0,6.57918164696693,10.8348183530331,17.414
0,0,0,4.30842575331897,3.22757424668111,7.536
0,0,0,21.57030425213,22.29769574787,43.868
0,0,0,75.4454610135684,51.9095389864315,127.355
0,0,0,153.721737853112,82.2792621468878,236.001
